canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_value,value,IC50_nM,pIC50
COc1cccc(C(=O)Cn2cnc3c(C#N)c(N4CCNCC4)n(CC=C(C)C)c3c2=O)c1,CHEMBL1951420,=,=,10.0,10.0,10.0,8.0
Cn1cnc2c(C#N)c(N3CCC[C@H](N)C3)n(Cc3ccccc3)c2c1=O,CHEMBL1951421,=,=,20.0,20.0,20.0,7.698970004336019
COc1cccc(C(=O)Cn2cnc3c(C#N)c(N4CCC[C@@H](N)C4)n(Cc4ccccc4)c3c2=O)c1,CHEMBL1951422,=,=,25.0,25.0,25.0,7.6020599913279625
COc1cccc(C(=O)Cn2cnc3c(C#N)c(N4CCC[C@H](N)C4)n(Cc4ccccc4)c3c2=O)c1,CHEMBL1951423,=,=,4.0,4.0,4.0,8.397940008672037
N#Cc1c(N2CCC[C@H](N)C2)n(Cc2ccccc2)c2c(=O)n(Cc3ccnc4ccccc34)cnc12,CHEMBL1951424,=,=,17.0,17.0,17.0,7.769551078621726
CC#CCn1c(N2CCC[C@@H](N)C2)c(C#N)c2ncn(CC(=O)c3cccc(OC)c3)c(=O)c21,CHEMBL1951425,=,=,60.0,60.0,60.0,7.221848749616356
CC#CCn1c(N2CCC[C@H](N)C2)c(C#N)c2ncn(CC(=O)c3cccc(OC)c3)c(=O)c21,CHEMBL1951426,=,=,15.0,15.0,15.0,7.823908740944319
CC#CCn1c(N2CCC[C@H](N)C2)c(C#N)c2ncn(Cc3ccnc4ccccc34)c(=O)c21,CHEMBL1951427,=,=,10.0,10.0,10.0,8.0
CC#CCn1c(N2CCC[C@H](N)C2)c(C#N)c2ncn(Cc3nccc4ccccc34)c(=O)c21,CHEMBL1951428,=,=,5.0,5.0,5.0,8.301029995663981
COc1cccc(C(=O)Cn2cnc3c(C#N)c(N4CCC[C@@H](N)C4)n(CC=C(C)C)c3c2=O)c1,CHEMBL1951429,=,=,4.0,4.0,4.0,8.397940008672037
COc1cccc(C(=O)Cn2cnc3c(C#N)c(N4CCC[C@H](N)C4)n(CC=C(C)C)c3c2=O)c1,CHEMBL1951430,=,=,1.0,1.0,1.0,9.0
CC(C)=CCn1c(N2CCC[C@H](N)C2)c(C#N)c2ncn(Cc3ccnc4ccccc34)c(=O)c21,CHEMBL1951431,=,=,4.0,4.0,4.0,8.397940008672037
CC(C)=CCn1c(N2CCC[C@H](N)C2)c(C#N)c2ncn(Cc3nccc4ccccc34)c(=O)c21,CHEMBL1951432,=,=,0.5,0.5,0.5,9.301029995663981
CC(C)=CCn1c(N2CCC[C@H](N)C2)c(C#N)c2ncn(Cc3nc(C)c4ccccc4n3)c(=O)c21,CHEMBL1951433,=,=,3.0,3.0,3.0,8.522878745280337
CC(C)=CCn1c(N2CCC[C@H](N)C2)c(C#N)c2ncn(Cc3ncc4ccccc4n3)c(=O)c21,CHEMBL1951434,=,=,8.0,8.0,8.0,8.096910013008056
CC(C)=CCn1c(N2CCC[C@H](N)C2)c(C#N)c2ncn(C)c(=O)c21,CHEMBL1951435,=,=,9.0,9.0,9.0,8.045757490560675
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBL237500,=,=,0.1,0.1,0.1,10.0
N#Cc1c(N2CCCNCC2)n(Cc2ccccc2)c2c(=O)n(Cc3nccc4ccccc34)cnc12,CHEMBL1951436,=,=,60.0,60.0,60.0,7.221848749616356
CC(C)=CCn1c(N2CCCNCC2)c(C#N)c2ncn(Cc3nccc4ccccc34)c(=O)c21,CHEMBL1951437,=,=,7.0,7.0,7.0,8.154901959985743
CC#CCn1c(N2CCCNCC2)c(C#N)c2ncn(Cc3nccc4ccccc34)c(=O)c21,CHEMBL1951438,=,=,6.0,6.0,6.0,8.221848749616356
CC#CCn1c(N2CCCNCC2)c(C#N)c2ncn(Cc3nc(C)c4ccccc4n3)c(=O)c21,CHEMBL1951439,=,=,9.0,9.0,9.0,8.045757490560675
CC#CCn1c(N2CCCNCC2)c(C#N)c2ncn(Cc3ncc4ccccc4n3)c(=O)c21,CHEMBL1951440,=,=,45.0,45.0,45.0,7.346787486224656
COc1cccc(C(=O)Cn2c(=O)c3c(c(C#N)c(N4CCC[C@H](N)C4)n3Cc3ccccc3)n(C)c2=O)c1,CHEMBL1951595,=,=,1.5,1.5,1.5,8.823908740944319
Cn1c(=O)n(Cc2nccc3ccccc23)c(=O)c2c1c(C#N)c(N1CCC[C@H](N)C1)n2Cc1ccccc1,CHEMBL1951596,=,=,4.0,4.0,4.0,8.397940008672037
Cn1c(=O)c2c(c(C#N)c(N3CCC[C@H](N)C3)n2Cc2ccccc2)n(C)c1=O,CHEMBL1951597,=,=,10.0,10.0,10.0,8.0
COc1cccc(C(=O)Cn2c(=O)c3c(c(C#N)c(N4CCC[C@H](N)C4)n3CC=C(C)C)n(C)c2=O)c1,CHEMBL1951598,=,=,0.5,0.5,0.5,9.301029995663981
CC(C)=CCn1c(N2CCC[C@H](N)C2)c(C#N)c2c1c(=O)n(Cc1nccc3ccccc13)c(=O)n2C,CHEMBL1951599,=,=,1.0,1.0,1.0,9.0
CC(C)=CCn1c(N2CCC[C@H](N)C2)c(C#N)c2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBL1951600,=,=,2.0,2.0,2.0,8.698970004336019
CC(C)=CCn1c(N2CCC[C@H](N)C2)c(C#N)c2c1c(=O)n(Cc1cnc3ccccc3n1)c(=O)n2C,CHEMBL1951601,=,=,9.0,9.0,9.0,8.045757490560675
CC(C)=CCn1c(N2CCC[C@H](N)C2)c(C#N)c2c1c(=O)n(Cc1ncccc1C#N)c(=O)n2C,CHEMBL1951602,=,=,25.0,25.0,25.0,7.6020599913279625
CC#CCn1c(N2CCC[C@H](N)C2)c(C#N)c2c1c(=O)n(CC(=O)c1cccc(OC)c1)c(=O)n2C,CHEMBL1951603,=,=,2.0,2.0,2.0,8.698970004336019
CC#CCn1c(N2CCC[C@H](N)C2)c(C#N)c2c1c(=O)n(Cc1nccc3ccccc13)c(=O)n2C,CHEMBL1951604,=,=,4.0,4.0,4.0,8.397940008672037
CC#CCn1c(N2CCC[C@@H](N)C2)c(C#N)c2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBL1951605,=,=,20.0,20.0,20.0,7.698970004336019
CC#CCn1c(N2CCC[C@H](N)C2)c(C#N)c2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBL1951606,=,=,250.0,250.0,250.0,6.6020599913279625
COc1cccc(C(=O)Cn2c(=O)c3c(c(C#N)c(N4CCCNCC4)n3CC=C(C)C)n(C)c2=O)c1,CHEMBL1951607,=,=,2.0,2.0,2.0,8.698970004336019
CC(C)=CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1nccc3ccccc13)c(=O)n2C,CHEMBL1951608,=,=,3.0,3.0,3.0,8.522878745280337
CC(C)=CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBL1951609,=,=,2.0,2.0,2.0,8.698970004336019
CC(C)=CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1cn3ccccc3n1)c(=O)n2C,CHEMBL1951610,=,=,10.0,10.0,10.0,8.0
CC(C)=CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1ncc3ccccc3c1C#N)c(=O)n2C,CHEMBL1951611,=,=,1.0,1.0,1.0,9.0
CC(C)=CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1c(C#N)cnc3ccccc13)c(=O)n2C,CHEMBL1949693,=,=,5.5,5.5,5.5,8.259637310505756
CC#CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1nccc3ccccc13)c(=O)n2C,CHEMBL1951612,=,=,5.0,5.0,5.0,8.301029995663981
CC#CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBL1951613,=,=,7.5,7.5,7.5,8.1249387366083
CC#CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1ncc3ccccc3c1C#N)c(=O)n2C,CHEMBL1951416,=,=,1.0,1.0,1.0,9.0
